"Id","Label","Group","Cohort","First_year","Pubs","Cum_Pubs_2018","Cum_Pubs_2019","Cum_Pubs_2020","Cum_Pubs_2021","Cum_Pubs_2022","Cum_Pubs_2023","Cum_Pubs_2024"
0,"Collaborator 29","Collaborator",NA,2020,2,0,0,2,2,2,2,2
1,"Faculty 5","Faculty",NA,2019,2,0,1,1,1,1,1,2
2,"Collaborator 164","Collaborator",NA,2024,1,0,0,0,0,0,0,1
3,"Collaborator 165","Collaborator",NA,2024,1,0,0,0,0,0,0,1
4,"Collaborator 30","Collaborator",NA,2020,1,0,0,1,1,1,1,1
5,"Collaborator 112","Collaborator",NA,2022,1,0,0,0,0,1,1,1
6,"Collaborator 70","Collaborator",NA,2021,1,0,0,0,1,1,1,1
7,"Doctoral Fellow 7","Doctoral Fellow","2019",2020,3,0,0,1,3,3,3,3
8,"Collaborator 31","Collaborator",NA,2020,1,0,0,1,1,1,1,1
9,"Collaborator 71","Collaborator",NA,2021,1,0,0,0,1,1,1,1
10,"Collaborator 145","Collaborator",NA,2023,1,0,0,0,0,0,1,1
11,"Affiliate Student 1","Affiliate Student","2019-2020",2018,3,1,1,1,1,2,3,3
12,"Collaborator 166","Collaborator",NA,2024,1,0,0,0,0,0,0,1
13,"Collaborator 32","Collaborator",NA,2020,1,0,0,1,1,1,1,1
14,"Faculty 22","Faculty",NA,2023,1,0,0,0,0,0,1,1
15,"Faculty 6","Faculty",NA,2019,5,0,1,3,3,4,4,5
16,"Collaborator 167","Collaborator",NA,2024,1,0,0,0,0,0,0,1
17,"Doctoral Fellow 8","Doctoral Fellow","2019",2020,1,0,0,1,1,1,1,1
18,"Collaborator 168","Collaborator",NA,2024,1,0,0,0,0,0,0,1
19,"Faculty 16","Faculty",NA,2021,4,0,0,0,1,2,3,4
20,"Collaborator 72","Collaborator",NA,2021,1,0,0,0,1,1,1,1
21,"Collaborator 73","Collaborator",NA,2021,2,0,0,0,1,1,2,2
22,"Faculty 11","Faculty",NA,2020,4,0,0,1,1,2,4,4
23,"Collaborator 74","Collaborator",NA,2021,1,0,0,0,1,1,1,1
24,"Collaborator 33","Collaborator",NA,2020,1,0,0,1,1,1,1,1
25,"Collaborator 169","Collaborator",NA,2024,1,0,0,0,0,0,0,1
26,"Collaborator 170","Collaborator",NA,2024,1,0,0,0,0,0,0,1
27,"Collaborator 75","Collaborator",NA,2021,2,0,0,0,2,2,2,2
28,"Collaborator 171","Collaborator",NA,2024,1,0,0,0,0,0,0,1
29,"Collaborator 16","Collaborator",NA,2019,1,0,1,1,1,1,1,1
30,"Collaborator 76","Collaborator",NA,2021,1,0,0,0,1,1,1,1
31,"Collaborator 146","Collaborator",NA,2023,1,0,0,0,0,0,1,1
32,"Faculty 1","Faculty",NA,2018,10,2,4,5,9,9,10,10
33,"Collaborator 172","Collaborator",NA,2024,1,0,0,0,0,0,0,1
34,"Affiliate Student 5","Affiliate Student","2019",2020,2,0,0,2,2,2,2,2
35,"Collaborator 34","Collaborator",NA,2020,1,0,0,1,1,1,1,1
36,"Collaborator 113","Collaborator",NA,2022,1,0,0,0,0,1,1,1
37,"Collaborator 147","Collaborator",NA,2023,1,0,0,0,0,0,1,1
38,"Collaborator 114","Collaborator",NA,2022,1,0,0,0,0,1,1,1
39,"Collaborator 1","Collaborator",NA,2018,1,1,1,1,1,1,1,1
40,"Collaborator 2","Collaborator",NA,2018,1,1,1,1,1,1,1,1
41,"Affiliate Student 2","Affiliate Student","2018",2018,9,1,2,3,6,6,8,9
42,"Collaborator 148","Collaborator",NA,2023,1,0,0,0,0,0,1,1
43,"Collaborator 35","Collaborator",NA,2020,1,0,0,1,1,1,1,1
44,"Collaborator 173","Collaborator",NA,2024,1,0,0,0,0,0,0,1
45,"Collaborator 115","Collaborator",NA,2022,1,0,0,0,0,1,1,1
46,"Collaborator 149","Collaborator",NA,2023,1,0,0,0,0,0,1,1
47,"Collaborator 36","Collaborator",NA,2020,1,0,0,1,1,1,1,1
48,"Collaborator 3","Collaborator",NA,2018,1,1,1,1,1,1,1,1
49,"Collaborator 77","Collaborator",NA,2021,1,0,0,0,1,1,1,1
50,"Collaborator 78","Collaborator",NA,2021,1,0,0,0,1,1,1,1
51,"Collaborator 79","Collaborator",NA,2021,1,0,0,0,1,1,1,1
52,"Doctoral Fellow 1","Doctoral Fellow","2017",2018,3,1,1,2,2,3,3,3
53,"Doctoral Fellow 15","Doctoral Fellow","2020",2022,2,0,0,0,0,1,2,2
54,"Collaborator 174","Collaborator",NA,2024,1,0,0,0,0,0,0,1
55,"Collaborator 116","Collaborator",NA,2022,1,0,0,0,0,1,1,1
56,"Collaborator 150","Collaborator",NA,2023,1,0,0,0,0,0,1,1
57,"Affiliate Student 4","Affiliate Student","2018",2019,1,0,1,1,1,1,1,1
58,"Collaborator 80","Collaborator",NA,2021,1,0,0,0,1,1,1,1
59,"Collaborator 117","Collaborator",NA,2022,6,0,0,0,0,1,5,6
60,"Collaborator 37","Collaborator",NA,2020,1,0,0,1,1,1,1,1
61,"Faculty 2","Faculty",NA,2018,4,1,1,1,2,3,3,4
62,"Faculty 23","Faculty",NA,2023,2,0,0,0,0,0,1,2
63,"Collaborator 175","Collaborator",NA,2024,1,0,0,0,0,0,0,1
64,"Collaborator 17","Collaborator",NA,2019,1,0,1,1,1,1,1,1
65,"Collaborator 81","Collaborator",NA,2021,1,0,0,0,1,1,1,1
66,"Collaborator 38","Collaborator",NA,2020,1,0,0,1,1,1,1,1
67,"Collaborator 4","Collaborator",NA,2018,2,1,1,1,2,2,2,2
68,"Collaborator 82","Collaborator",NA,2021,1,0,0,0,1,1,1,1
69,"Collaborator 83","Collaborator",NA,2021,1,0,0,0,1,1,1,1
70,"Collaborator 18","Collaborator",NA,2019,1,0,1,1,1,1,1,1
71,"Collaborator 84","Collaborator",NA,2021,2,0,0,0,1,1,2,2
72,"Collaborator 85","Collaborator",NA,2021,1,0,0,0,1,1,1,1
73,"Faculty 18","Faculty",NA,2022,1,0,0,0,0,1,1,1
74,"Collaborator 118","Collaborator",NA,2022,1,0,0,0,0,1,1,1
75,"Collaborator 176","Collaborator",NA,2024,1,0,0,0,0,0,0,1
76,"Collaborator 151","Collaborator",NA,2023,1,0,0,0,0,0,1,1
77,"Collaborator 152","Collaborator",NA,2023,1,0,0,0,0,0,1,1
78,"Collaborator 39","Collaborator",NA,2020,1,0,0,1,1,1,1,1
79,"Collaborator 177","Collaborator",NA,2024,1,0,0,0,0,0,0,1
80,"Doctoral Fellow 11","Doctoral Fellow","2019",2021,2,0,0,0,1,1,2,2
81,"Collaborator 19","Collaborator",NA,2019,1,0,1,1,1,1,1,1
82,"Collaborator 40","Collaborator",NA,2020,1,0,0,1,1,1,1,1
83,"Collaborator 119","Collaborator",NA,2022,1,0,0,0,0,1,1,1
84,"Collaborator 120","Collaborator",NA,2022,1,0,0,0,0,1,1,1
85,"Collaborator 5","Collaborator",NA,2018,1,1,1,1,1,1,1,1
86,"Collaborator 86","Collaborator",NA,2021,2,0,0,0,2,2,2,2
87,"Collaborator 121","Collaborator",NA,2022,1,0,0,0,0,1,1,1
88,"Faculty 12","Faculty",NA,2020,6,0,0,3,3,4,6,6
89,"Collaborator 122","Collaborator",NA,2022,1,0,0,0,0,1,1,1
90,"Collaborator 123","Collaborator",NA,2022,1,0,0,0,0,1,1,1
91,"Collaborator 178","Collaborator",NA,2024,1,0,0,0,0,0,0,1
92,"Collaborator 179","Collaborator",NA,2024,1,0,0,0,0,0,0,1
93,"Doctoral Fellow 3","Doctoral Fellow","2019",2019,4,0,1,1,1,2,4,4
94,"Collaborator 153","Collaborator",NA,2023,1,0,0,0,0,0,1,1
95,"Collaborator 124","Collaborator",NA,2022,1,0,0,0,0,1,1,1
96,"Doctoral Fellow 9","Doctoral Fellow","2018",2020,2,0,0,1,1,2,2,2
